Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-03-14,33000.37109,33395.58984,32818.16016,32945.23828,32945.23828,394940000,2130
2022-03-15,32989.26953,33620.83984,32989.26953,33544.33984,33544.33984,388810000,2131
2022-03-16,33653.92969,34075.94141,33391.23828,34063.10156,34063.10156,427400000,2132
2022-03-17,33995.39063,34483.92188,33896.05859,34480.76172,34480.76172,339470000,2133
2022-03-18,34466.71875,34755.19922,34279.82813,34754.92969,34754.92969,615420000,2134
2022-03-21,34669.85156,34808.28125,34341.80859,34552.98828,34552.98828,408490000,2135
2022-03-22,34583.23828,34882.03125,34583.23828,34807.46094,34807.46094,368550000,2136
2022-03-23,34748.83984,34748.83984,34352.96094,34358.5,34358.5,347880000,2137
2022-03-24,34406.80859,34713.55859,34355.42188,34707.94141,34707.94141,324870000,2138
2022-03-25,34702.39063,34942.69922,34631.51953,34861.23828,34861.23828,285440000,2139
2022-03-28,34833.03125,34957.92969,34552.23047,34955.89063,34955.89063,299790000,2140
2022-03-29,35114.35156,35372.26172,35030.07031,35294.19141,35294.19141,355050000,2141
2022-03-30,35273.62891,35361.35938,35058.57813,35228.80859,35228.80859,317320000,2142
2022-03-31,35201.51953,35201.51953,34677.98828,34678.35156,34678.35156,433400000,2143
2022-04-01,34740.89063,34847.91016,34538.25,34818.26953,34818.26953,340400000,2144
2022-04-04,34799.98047,34940.78125,34615.37891,34921.87891,34921.87891,316570000,2145
2022-04-05,34876.32813,35112.21094,34566.03906,34641.17969,34641.17969,304010000,2146
2022-04-06,34520.33984,34609.83984,34277.17188,34496.51172,34496.51172,386250000,2147
2022-04-07,34439.23828,34705.82813,34190.94922,34583.57031,34583.57031,319870000,2148
2022-04-08,34569.23828,34908.46094,34470.19141,34721.12109,34721.12109,301750000,2149
2022-04-11,34630.26953,34701.33984,34272.28906,34308.07813,34308.07813,333290000,2150
2022-04-12,34412.51172,34669.96875,34102.80859,34220.35938,34220.35938,333510000,2151
2022-04-13,34166.64063,34598.35938,34140.64063,34564.58984,34564.58984,313630000,2152
2022-04-14,34628.46094,34889.17188,34437.5,34451.23047,34451.23047,353680000,2153
2022-04-18,34411.48828,34618.28906,34279.07813,34411.69141,34411.69141,264110000,2154
2022-04-19,34394.62109,34983.10938,34394.62109,34911.19922,34911.19922,296350000,2155
2022-04-20,34962.67188,35315.39844,34962.67188,35160.78906,35160.78906,337620000,2156
2022-04-21,35258.80078,35492.21875,34723.82031,34792.76172,34792.76172,366390000,2157
2022-04-22,34727.37891,34727.37891,33773.39063,33811.39844,33811.39844,373280000,2158
2022-04-25,33731.64844,34106.01172,33323.37109,34049.46094,34049.46094,416900000,2159
2022-04-26,33907.48828,33909.51172,33230.94922,33240.17969,33240.17969,400020000,2160
2022-04-27,33450.92188,33697.17969,33108.89063,33301.92969,33301.92969,447230000,2161
2022-04-28,33425.96094,34054.78906,33248.46094,33916.39063,33916.39063,440380000,2162
2022-04-29,33787.01172,33919.58984,32913.14844,32977.21094,32977.21094,501560000,2163
2022-05-02,32978.48828,33224.94922,32449.86914,33061.5,33061.5,453390000,2164
2022-05-03,33086.08984,33341.57813,32914.75,33128.78906,33128.78906,364420000,2165
2022-05-04,33171.80078,34117.73828,33021.83984,34061.05859,34061.05859,411060000,2166
